x,y,z
-3.750682235742056037e+02,-2.201558706240668783e+01,-1.211052219568506061e+00
-3.775456060365131634e+02,-2.212150112521989342e+01,-1.211198556151623862e+00
-3.802407917956687697e+02,-2.236064102536862563e+01,-1.211359261253631914e+00
-3.828771209293494167e+02,-2.250707190494101440e+01,-1.211517270370086052e+00
-3.852715985163697496e+02,-2.272957009205891055e+01,-1.261662045692468759e+00
-3.877764800885892100e+02,-2.294151420208887515e+01,-1.261814392179865685e+00
-3.890604948352810197e+02,-2.302971946051955143e+01,-1.261892778989567532e+00
-3.916225071517997662e+02,-2.317448564852506721e+01,-1.262049872800150574e+00
-3.958873769986293496e+02,-2.349126216734042316e+01,-1.262313958330365082e+00
-3.987316253958615562e+02,-2.369374769297468575e+01,-1.262491608426961953e+00
-4.012970731213945328e+02,-2.386737841552447037e+01,-1.312652989179264651e+00
-4.024844294983892610e+02,-2.394892433642398544e+01,-1.362728029319684175e+00
-4.076686063565467748e+02,-2.444829240705833939e+01,-1.363058781248486895e+00
-4.091433564114103660e+02,-2.457367983531059608e+01,-1.363153393278385472e+00
-4.115889445751102471e+02,-2.453746481721413630e+01,-1.363310497645564112e+00
-4.140796509996256418e+02,-2.473885322465785919e+01,-1.363472283079008918e+00
-4.174711788702006743e+02,-2.498460425207945690e+01,-1.463693976721766710e+00
-4.194798941031936010e+02,-2.510496422332810695e+01,-1.463826072545641566e+00
-4.223469122041136075e+02,-2.532187385681119451e+01,-1.464015858179360308e+00
-4.249458717863097945e+02,-2.550659814739742970e+01,-1.464188994863089732e+00
-4.263789480325539216e+02,-2.559867484217097555e+01,-1.514284870728008769e+00
-4.293812797225226632e+02,-2.580558145978968909e+01,-1.564486841882186674e+00
-4.321409032305366509e+02,-2.601028002178954068e+01,-1.564673789012664074e+00
-4.347407219946546206e+02,-2.618611850001700958e+01,-1.564850942922963561e+00
-4.371841739606430792e+02,-2.635419277151850181e+01,-1.565018447169251203e+00
-4.403811080644209142e+02,-2.661104802008146919e+01,-1.615239097107135535e+00
-4.442331469795960288e+02,-2.682678280799251525e+01,-1.665506789770307527e+00
-4.453453320303902956e+02,-2.692498135986375019e+01,-1.665584679184333616e+00
-4.481010886488933238e+02,-2.710691306480270057e+01,-1.665778163804287892e+00
-4.511017078285402135e+02,-2.733435225190254414e+01,-1.665990332383595174e+00
-4.557600763078792170e+02,-2.766384122178147820e+01,-1.666322503215549311e+00
-4.586142026573696739e+02,-2.789184086574433863e+01,-1.766527746587451375e+00
-4.599682410818346625e+02,-2.799335388254043266e+01,-1.766625585901487661e+00
-4.641338789101417888e+02,-2.824903142676602030e+01,-1.766928079852110089e+00
-4.655768362387223078e+02,-2.834387602322228972e+01,-1.817033504930561705e+00
-4.680619545782456044e+02,-2.850916205274651816e+01,-1.867215860892753376e+00
-4.710831948560309570e+02,-2.873492672223081001e+01,-1.867439047171411737e+00
-4.749541363579505742e+02,-2.900449492173124000e+01,-1.967726858734978990e+00
-4.792138509973393070e+02,-2.922629404486296067e+01,-1.968046132728904496e+00
-4.804033610106498600e+02,-2.932503792978930690e+01,-1.968135937847071304e+00
-4.830847961780918354e+02,-2.953305361360943593e+01,-2.068339138412810030e+00
-4.862576797827685482e+02,-2.978711582378764078e+01,-2.068581046066671369e+00
-4.894971375808470384e+02,-2.999176318859971957e+01,-2.168829501565442186e+00
