x,y,z
-0.384041495180602,9.023502381101078,-0.10000641186911441
-1.9090385142216608,8.906919888388158,-0.10000652050869174
-4.532892640060177,8.71927832104554,-0.10000758497154472
-6.846592522262964,8.570498269301492,-0.10000944334476536
-9.507390425337078,8.422829641913431,-0.10001265234214962
-11.835695940923905,8.255175676539409,-0.20001632296813154
-15.46046432753093,7.960949508525225,-0.2000236942109428
-18.452896064680846,7.685598803146057,-0.2000312991710067
-22.023538096562543,7.464656150194141,-0.20004234988070646
-25.476475934896186,7.238163087673993,-0.30005492838591596
-28.741259879505165,6.96836883288659,-0.30006848412892584
-31.841945018163877,6.752980440659832,-0.40008295660587345
-34.85241999571781,6.464312431300947,-0.40009837385921454
-38.41189372255126,6.168986340399805,-0.5001184960306428
-41.81414261146647,5.97692011059115,-0.500139679112455
-45.488743435779575,5.648288571292438,-0.6001644944246012
-48.630669804321556,5.3518545353792515,-0.6001873868357479
-51.912637446471344,5.084290737072642,-0.7002129984676317
-55.09408328221733,5.0720993437630515,-0.7002396387859391
-57.62944591522131,4.900019482117278,-0.8002618779422006
-60.374442998091794,4.729052478309323,-0.800287105235943
-64.08083139917684,4.644698587568641,-0.9003231524667223
-67.79667355492832,4.207267521647461,-1.0003612103983213
-70.51847359949262,4.066282333935267,-1.0003905888392182
-73.24199161051878,3.850907193453799,-1.1004211068272525
-76.13820061678115,3.6510791375484715,-1.1004548567096388
-79.23974664733326,3.414613940864524,-1.2004924510848962
-82.37565772309216,3.290291811835792,-1.30053205970206
-84.84572606729942,3.0393881246192587,-1.400564270570163
-87.90946806036541,2.9350530639133403,-1.5006056543577988
-91.20260606258071,2.6630649154945933,-1.6006517090684755
-94.38405321523794,2.472129540535211,-1.7006978537909416
-97.59213590211748,2.1457378398898648,-1.8007459483749573
-100.17131736300793,2.0036510047008393,-1.8007858303572524
-103.12594813659126,1.8149369318247144,-1.9008327960964562
-105.94912945273185,1.5518313354942856,-2.0008789336954305
-108.88743574500647,1.4119729499997304,-2.1009283178199833
-111.4769261827376,1.2321394400949326,-2.2009729510024054
-114.56129115598546,0.924628336855289,-2.301027477662701
-117.27364012959607,0.7836594987060813,-2.40107668283435
-120.77211731188498,0.4872603018077726,-2.501141847087921
-123.6391148816327,0.29522181668655967,-2.601196691807143
-127.20288666314138,0.08098961863477272,-2.7012666649634633
-130.9951936346849,-0.14322985789853027,-2.8013433185792485
-133.45409385364616,-0.3674706131795107,-2.9013942314759067
-136.1793320065488,-0.6005883774317171,-3.0014517727614005
-139.21472318593905,-0.7437643945042671,-3.101517226487318
-142.4709192944369,-1.0146209153821635,-3.2015890679358554
-145.19100221293047,-1.2188674866745872,-3.3016503576697898
-149.00565368194714,-1.631830557616937,-3.3017383036952648
-151.58740974162384,-1.6673102573359082,-3.401799064959948
-154.95099952809844,-1.8859747660574158,-3.501879840777274
-157.30250623559036,-1.9958480322583294,-3.5019373554740065
-160.48825215990365,-2.255595246519053,-3.6020166973169703
-163.26504303371829,-2.4964745455842645,-3.602087162217632
-166.67502646719765,-2.665168955724619,-3.7021753051771107
-170.4046189234979,-3.0004014540038737,-3.8022738708382104
-173.7510291063997,-3.2257200353561126,-3.8023641386628517
-176.79244170291364,-3.5354277877729277,-3.8024477650182527
-179.62249874544247,-3.67859261671956,-3.802526807035341
-182.7042894020672,-3.878376317426304,-3.8026143377436696
-188.30512507533754,-4.273512524694122,-3.802777260619299
