x,y,z
-5.57542206847117e-12,-0.129536747833823,-9.032453673896157e-10,
1.8425551747966824,-3.320347826675634,-1.1353263955626858e-06,
3.2374844275779124,-5.7959387940208975,-3.469623024221491e-06,
4.778152933502381,-8.42653070105275,-0.10000738496317929,
6.350051807091017,-11.254195534949151,-0.10001314307732345,
7.911541126827624,-14.003252230468183,-0.20002036004492219,
9.244012514501744,-16.36812745748049,-0.20002781384803292,
10.836732532020909,-19.17918421582706,-0.30003819613150995,
12.054695425030735,-21.401236683906333,-0.30004748780098733,
13.303888480658632,-23.698575344278517,-0.30005813668116676,
14.4177522927417,-25.678161106045092,-0.400068261545206,
15.895964777634822,-28.320930625173034,-0.40008302168305576,
17.103518933094236,-30.428946067710164,-0.4000959045814607,
18.508862160478117,-32.827034399881505,-0.500111782737438,
19.737236880440896,-34.98819286201915,-0.5001270161248481,
21.944148170409196,-39.11897199255756,-0.6001583514395605,
24.03655093090699,-42.841212612726515,-0.6001899378207298,
26.857651869492326,-47.641816652274905,-0.7002354261901029,
28.77308725705688,-51.11494778119038,-0.700270811058779,
31.552551713982172,-56.015195372190014,-0.7003253278627461,
33.1660982947878,-58.64467616375738,-0.8003572742407279,
35.622855588156504,-63.01459803929838,-0.8004124207927177,
37.10107458554211,-65.6474010570182,-0.8004475463077405,
38.76667438182684,-68.77288591316363,-0.8004905617380942,
40.55719397348885,-72.0345487871646,-0.9005378924373595,
42.22279446638358,-74.940817242124,-0.9005823635023162,
43.930035266410606,-77.80390650807274,-0.9006283589697794,
45.73096741853102,-81.07331991605793,-0.9006819537050177,
47.54231032239395,-84.63391258494212,-1.0007416984426918,
48.22937098136057,-85.66799005214614,-1.0007607350531167,
49.249550208810206,-86.5503867718955,-1.0007805057730579,
50.31136866599805,-87.18478138578323,-1.0007974775268451,
51.747946017156764,-87.82028193275988,-1.0008177318840907,
53.38231152296736,-88.0350641898154,-1.0008341713813387,
55.02708504002169,-87.90441362552922,-1.1008463319376105,
56.73431728493319,-87.21575977016717,-1.1008517779996119,
58.295808920608955,-86.25585415428861,-1.1008527278109916,
59.39926051477023,-84.90180411969868,-1.1008446367761522,
60.15918205591994,-83.516753689179,-1.2008333717417834,
60.638033439339296,-81.590308548446,-1.200812833549449,
60.461057627840574,-79.80115253829837,-1.200788394080245,
60.02383420787391,-78.13157103765919,-1.1007634817340808,
58.951596008189284,-74.64847648963297,-1.1007115404790184,
58.212480801723494,-72.30131806422946,-1.1006775682087842,
