x,y,z
41.692571958811925,-49.105333177516464,-2.20032571460764
10.637286191062428,-74.6140215486786,-2.100446650043949
-8.053483245009193,-89.86524820275994,-2.000640127909385
-27.05883123014801,-106.49362377917652,-2.100949134070248
-38.77658804615123,-117.02284110554959,-1.9011946010616043
-58.411096751583344,-136.77729967034304,-1.8017382617626225
-74.18167415560384,-152.84739767917844,-1.6022679763246117
-89.84449239822084,-170.28023539735938,-1.4029120832170747
-101.79609130445449,-184.47262926546946,-1.4034873256609757
-119.32819304069811,-206.5030714650872,-1.0044681768513186
-146.44882909510716,-244.65237106506243,-0.5063859529554691
-184.23683187880113,-307.80396421779267,0.889892185397116
-189.91642800743534,-322.25274111086117,1.2890099390880323
-194.77829534643917,-336.7170652740483,1.588113975970117
-198.2921951341818,-349.55451039299584,1.4873130511846568
-200.565969404882,-361.03697788529814,1.28660042276735
-202.3994655124353,-374.61242110859973,0.8857572513181822
-203.79272637174904,-391.6036788234476,0.6846891764415375
-204.09853527264505,-403.2227053783755,0.7839531931847716
-203.53270482875934,-416.2821946374134,0.7831296592239028
-202.23000343913336,-429.0132500623482,1.2823247992487552
-200.58575427679733,-439.26513110311123,1.581676674816805
-198.24060838139673,-451.19164071808075,1.9809147807324337
-195.67975123630345,-461.68658489133963,2.380240377960831
-192.82229604580766,-470.8420442299985,2.3796559158026866
-188.8954917996361,-481.85411382776635,2.178948285893142
-183.56684406323313,-495.22439479087444,1.6780763809085215
-178.62453096315923,-505.30538703644424,1.2774233768847125
-174.868368260071,-512.2680254407223,1.57697019407712
-169.89905510592203,-520.0108534846465,2.0764758117925908
-163.00666806719647,-530.226169191599,1.8758118045160757
-155.27851774006612,-540.8409421293047,0.9751103554768861
-146.02270233254396,-551.5857357113114,1.9744056759324735
-138.04288208454088,-560.0831898850168,2.0738403235512237
-126.30672474610387,-571.1418931845841,1.1730994887803945
-113.71684470048844,-581.1420569398551,2.0724299538503033
-101.90872897543993,-589.3809939466578,2.571870943101885
-88.81550142733266,-597.3024295897379,1.871327252128708
-76.23446487004284,-603.7001220813165,0.7708856088087828
-62.9614702258408,-609.6152521674809,1.6704658965925887
-51.21615055758869,-613.9811511732876,2.5701508113608043
-39.79432200196874,-617.5235353973782,2.769889152007181
-30.017010523078454,-620.0327074425238,2.769698407637179
-19.0804322960156,-622.2333522951108,2.669525473061128
-7.595671135849614,-624.1443306431162,2.4693621611742174
6.1357228365186245,-625.4782252081704,2.2692326531618505
16.218593086393128,-625.8477473774245,2.1691786443013257
28.251536931926296,-625.8343996970525,2.169138062995728
41.94698303424019,-624.9221540458491,2.3691525158040463
56.882558859412,-622.9112315279735,2.5692342719701173
73.7592030141962,-619.6118436379276,2.6693840270676787
84.48907183709433,-617.0537942269452,2.7694998487572207
101.5364022094687,-611.5802932796473,2.169780383534601
117.96361686840197,-605.0924142602203,1.0701187959026583
134.47168894227215,-597.2929189452365,1.3705299844461365
144.76113156736824,-591.8017751921868,1.7708184933039206
155.3021557005229,-585.4183332935361,1.6711617841834254
171.89094319422765,-574.1562700149052,0.9717637529628291
213.98321490873215,-559.3237510916747,2.6718141568969713
488.22781895605476,-332.47300290994167,1.9726451069829807
519.3891527538835,-286.90721184722486,0.37240610663951657
534.4221863984869,-273.6093384399791,0.37175191123671425
546.6066274826089,-261.7842332165076,-0.028781496902084314
558.9796827675186,-247.52991156474252,0.6707183856942152
569.7261041764423,-233.49757312541865,-0.02970049067496916
578.8821165484625,-220.05576283648816,0.6699555396597106
587.2741387027522,-205.52530538288244,0.569675604237915
595.3694637437513,-189.52221964901378,0.16942316684200875
601.4521032498993,-175.46578484410776,0.6692566449605408
607.2649519192643,-158.80700705713411,1.0691444424565617
609.9960198405504,-149.02552169667737,1.069120941058344
613.0323564501964,-136.24658335408935,0.6691168616345067
615.1162399980014,-124.20791659863289,0.46916304908965145
616.3913996481616,-112.72972495635406,0.06925395836409365
617.1992986782869,-101.16723008365173,-0.13062958845407735
617.3331652545301,-88.15656894597389,-0.1304488280468803
617.0000349324743,-78.9900978297875,-0.13029615080957058
616.3074961342138,-69.9512749289363,0.06987658563868848
614.9858318350705,-59.19350132802167,0.37011324877100193
613.4485795646657,-49.57766869405336,0.5703433497176675
611.9204721198078,-42.31116465219226,0.6705424615471856
609.0532115071115,-31.249425196604022,0.8708805422925696
606.392762099441,-22.579169506870322,0.6711704144496142
600.3620806658372,-6.604802375821016,0.17177685853654712
595.428039315268,4.498969972982642,-0.22775936583356415
