x,y,height, bank_angle
-178.811447,721.727329,-0.232158,0.000000
-168.676572,721.594516,-0.263142,0.000000
-158.541821,721.450953,-0.290393,0.000000
-148.407053,721.307426,-0.314364,0.000000
-138.272225,721.167670,-0.335592,0.000000
-126.468201,721.020174,-0.353621,0.000000
-114.664078,720.880287,-0.369359,0.000000
-102.859976,720.738689,-0.382764,0.000000
-92.725010,720.607506,-0.394498,0.000000
-82.590069,720.473406,-0.404095,0.000000
-72.455120,720.339167,-0.411970,0.000000
-62.320136,720.207354,-0.418546,0.000000
-52.185083,720.081092,-0.424141,0.000000
-42.050049,719.953278,-0.428680,0.000000
-31.915030,719.824245,-0.432231,0.000000
-21.780083,719.689307,-0.434770,0.000000
-11.645109,719.556369,-0.436281,0.000000
-1.510065,719.428983,-0.436751,0.000000
8.624999,719.303050,-0.436297,0.000000
18.760055,719.176496,-0.434979,0.000000
28.895103,719.049095,-0.432758,0.000000
39.030075,718.916078,-0.429495,0.000000
49.165037,718.783022,-0.425189,0.000000
59.300016,718.651322,-0.419888,0.000000
69.435050,718.523810,-0.413627,0.000000
79.570089,718.395962,-0.406733,0.000000
89.705142,718.269300,-0.399566,0.000000
99.840203,718.143346,-0.392367,0.000000
109.975321,718.022018,-0.385108,0.000000
120.110376,717.895624,-0.377824,0.000000
130.245396,717.766486,-0.370513,0.000000
140.380322,717.629885,-0.363136,0.000000
150.515159,717.487138,-0.355547,0.000000
160.649978,717.342872,-0.347841,0.000000
170.784778,717.197604,-0.340216,0.000000
180.919620,717.055147,-0.332746,0.000000
191.054470,716.913425,-0.325192,0.000000
201.189406,716.777958,-0.317202,0.000000
211.324456,716.651205,-0.308439,0.000000
221.459654,716.536836,-0.298779,0.000000
231.594904,716.427213,-0.288317,0.000000
241.730125,716.314973,-0.277305,0.000000
251.865229,716.192751,-0.265927,0.000000
262.000238,716.062590,-0.254223,0.000000
272.135138,715.924580,-0.242211,0.000000
282.270043,715.787050,-0.230049,0.000000
292.404984,715.652388,-0.217774,0.000000
304.208970,715.499070,-0.203047,0.000000
316.012919,715.343420,-0.187438,0.000000
327.816789,715.181866,-0.170512,0.000000
337.951669,715.043066,-0.154480,0.000000
348.086570,714.905436,-0.137476,0.000000
358.221571,714.775838,-0.119989,0.000000
368.356621,714.650014,-0.102247,0.000000
378.491710,714.527255,-0.084511,0.000000
