x,y,z,bank_angle
-382.541177,353.862632,3.481602,0.009270
-373.859292,355.167501,2.952301,0.007710
-367.010440,356.248795,2.634107,0.006760
-359.869482,357.267072,2.379111,0.005998
-352.795926,358.165974,2.177950,0.005395
-344.061348,358.925184,1.906503,0.004607
-337.280830,359.470112,1.749938,0.004147
-329.893643,359.931282,1.632218,0.003803
-322.148903,360.315624,1.548635,0.003560
-312.348594,360.625673,1.439009,0.003252
-302.707290,360.797785,1.354257,0.003020
-293.309499,360.867556,1.279366,0.002822
-285.865325,360.869991,1.228437,0.002697
-278.575552,360.854818,1.178574,0.002581
-270.910915,360.840062,1.128691,0.002469
-261.211336,360.837621,1.056680,0.002302
-251.412351,360.838029,0.985847,0.002143
-241.795678,360.830986,0.919841,0.002001
-232.112541,360.811316,0.857198,0.001874
-222.339558,360.777532,0.796296,0.001756
-214.482435,360.735500,0.751504,0.001686
-206.938521,360.686322,0.705035,0.001615
-199.661673,360.636093,0.658323,0.001546
-190.358642,360.587917,0.594603,0.001433
-180.879654,360.540864,0.530809,0.001322
-171.038820,360.495225,0.467732,0.001213
-160.876420,360.441843,0.405213,0.001108
-150.574827,360.388838,0.346006,0.001011
-140.293034,360.340201,0.290101,0.000922
-132.281852,360.300747,0.250265,0.000877
-122.776554,360.285169,0.200353,0.000803
-115.090484,360.259731,0.164318,0.000765
-105.343164,360.226882,0.116230,0.000692
-97.002550,360.172892,0.083373,0.000659
-87.147250,360.118997,0.042176,0.000600
-77.567806,360.075661,0.005148,0.000549
-68.471451,360.036306,-0.029083,0.000503
-61.079343,360.001181,-0.054002,0.000481
-52.097692,359.965624,-0.080762,0.000451
-44.480863,359.922309,-0.099323,0.000441
-35.071886,359.878723,-0.121178,0.000420
-27.340785,359.829747,-0.134311,0.000420
-18.240174,359.779572,-0.148544,0.000414
-8.446927,359.737438,-0.376622,-0.000189
1.177241,359.699123,-0.618929,-0.000834
11.954899,359.683666,-0.894379,-0.001574
20.230376,359.657443,-0.951339,-0.001709
28.630304,359.623190,-1.009137,-0.001848
34.500446,359.563854,-1.031393,-0.001891
42.165359,359.502294,-1.071934,-0.001987
49.984116,359.437356,-1.111892,-0.002083
59.385785,359.374619,-1.170140,-0.002233
68.922515,359.316826,-1.225839,-0.002378
78.629035,359.261278,-1.280421,-0.002523
88.522863,359.211169,-1.333171,-0.002664
98.480505,359.166290,-1.385430,-0.002806
108.539743,359.125212,-1.435369,-0.002944
118.464353,359.088966,-1.483021,-0.003077
128.383226,359.053430,-1.528818,-0.003207
136.440646,359.013262,-1.558493,-0.003293
144.309894,358.965211,-1.586101,-0.003374
150.060615,358.910320,-1.598690,-0.003414
157.264154,358.861204,-1.624507,-0.003492
164.695127,358.814106,-1.648286,-0.003565
174.169958,358.773097,-1.682239,-0.003668
183.941003,358.733357,-1.711243,-0.003758
194.014276,358.688925,-1.736772,-0.003839
204.248333,358.642028,-1.758402,-0.003910
212.700325,358.590662,-1.771272,-0.003958
220.840899,358.550510,-1.780631,-0.003996
228.822572,358.510138,-1.787194,-0.004028
238.573387,358.476601,-1.796750,-0.004070
247.224503,358.442091,-1.802420,-0.004101
255.628197,358.404508,-1.803641,-0.004122
262.034668,358.360540,-1.801540,-0.004133
271.465827,358.314357,-1.794074,-0.004131
279.396116,358.266913,-1.786746,-0.004130
289.358481,358.219725,-1.772529,-0.004110
297.442460,358.178707,-1.753513,-0.004078
307.326577,358.139602,-1.721345,-0.004010
315.043189,358.103561,-1.695789,-0.003961
322.391815,358.067019,-1.664095,-0.003895
329.482072,358.031378,-1.627242,-0.003815
336.878012,357.990808,-1.590221,-0.003736
344.554312,357.941591,-1.546131,-0.003638
352.125160,357.888487,-1.494283,-0.003519
361.177234,357.848492,-1.413199,-0.003320
368.163829,357.811639,-1.353575,-0.003181
375.650077,357.780841,-1.285066,-0.003018
383.365210,357.749280,-1.203960,-0.002820
391.367951,357.709484,-1.122684,-0.002623
399.980484,357.667999,-0.978858,-0.002251
408.676292,357.615454,-0.821919,-0.001843
419.255916,357.563760,-0.605416,-0.001268
427.308960,357.505536,-0.485677,-0.000964
435.379586,357.456185,-0.354343,-0.000627
443.571394,357.413698,-0.207739,-0.000248
