E,N,U
407.566354084878,0.2671825267909753,721.5973225887221
417.00645157122915,0.27658738981742204,721.4499757484834
425.99575326313374,0.281005536711632,721.3283657284903
434.8984457976104,0.28842047855366104,721.1750744874183
443.82779109050756,0.30881684344996074,721.0594679090106
452.9714340163986,0.3161821359836381,720.9729604363571
461.8052913702461,0.30755638636352955,720.8899064230749
470.7390649369469,0.3119295369245094,720.6424000920813
479.14766984693006,0.34330564507095573,720.6082105569398
487.8915780888224,0.3396652245865539,720.3941247727369
498.0123320443082,0.375880336595003,720.4000297911667
506.6807388113764,0.3832194133165103,720.1910919655522
515.5279169309212,0.393524756662913,720.0480869013736
523.9809360240668,0.41183713517079923,720.0216008483302
533.0157561363962,0.438111288783432,719.8023541831774
541.8207541887464,0.49737374779539323,719.7467199043793
551.0243515356726,0.50960041463685,719.5942615588299
560.3101107281465,0.5048089424271893,719.4203821438488
568.3534070850633,0.4871042155824057,719.3425430325731
576.7431404188808,0.5293515593221514,719.3212053824556
585.5892134990098,0.5585568501954299,719.2021859844828
594.9993374465311,0.6367053089919068,719.0103196595089
603.5733782448891,0.6369069715594264,718.9272947680856
611.2913470336474,0.6321784195813507,718.8529144329749
619.2991180705651,0.6384096042924625,718.80248935133
628.6403957201323,0.683518557740797,718.5789378881232
637.292168103964,0.7646681474346337,718.4864945598283
644.9812707073438,0.7959034423953995,718.3958489438293
652.8113906841709,0.8391116966375876,718.3343113502982
660.6781554069511,0.9713136357365215,718.2094023367428
668.9124440736871,1.1284694319052164,718.0647633731243
675.916477397389,1.2377373915221028,717.9913206533487
682.9837728221877,1.3450237655471824,717.6249630669919
690.2620527592954,1.4712585074518074,717.4444398838584
698.9027100833764,1.6163511781811053,717.1233327713468
706.537420059669,1.7885224508964939,716.9933131544493
713.1839199024382,1.9348006935402964,716.8162782324825
720.0835741411172,2.0830480501919624,716.5972538921047
727.5350534292618,2.1902369389430305,716.2702605965408
735.2840832041916,2.287406797824815,715.7282693345247
743.1363707568403,2.4865745774612265,715.0124211700908
750.6555640223432,2.6987649003819456,714.359127856678
758.7198860039609,2.81692711310518,713.2955348028127
766.5410472078831,2.9921124285535257,712.1942891136375
774.2644559656965,2.9873252899610634,710.8643628475064
782.0922494342819,3.2775443959903896,709.2758151334111
788.7663649846023,3.3659079929763607,707.584580987056
795.7924198748553,3.41426147977387,705.5190458774296
803.6445221692919,3.4855624082147756,702.9070290695992
811.3278186062879,3.5039081850790694,699.9841377811056
818.1039769295016,3.501345472130822,697.1949377612443
825.8915927538981,3.5377265816716204,693.6374259639629
833.5737352306878,3.5711008327320997,690.1647182899316
840.9715996853738,3.59853942932574,686.3391885520867
847.3635153545326,3.6010751008518582,682.7578386130664
854.0540615808998,3.568620250200297,678.630912303413
861.3175243926862,3.595113875513107,674.1656556540836
868.318917503778,3.617669474640593,669.3415822878179
873.7448176483006,3.627334165697448,665.4408926676052
881.0403889143331,3.643909415988901,659.8365951321027
887.5531964192376,3.6745557098616928,654.4756043178041
893.2688192352946,3.701258232401244,649.5531846037036
898.7579206802615,3.7009972281968544,644.4980411125874
904.8176779060424,3.6947210749153214,638.6960460742035
910.5465452287062,3.7275030492111227,632.6739879897267
916.4696604672104,3.7233198559148377,625.9008277188229
922.2029375382278,3.769131142124536,619.33752399719
927.8695477910001,3.7829971520517347,612.180725163778
933.2063757007443,3.764914049521906,604.8595251272476
937.9003657345856,3.7598637406715056,598.0633785262065
942.441124239551,3.7498370901259364,591.1413564101928
947.1750236624969,3.7738547764548684,583.3020949872387
951.4681309392543,3.78991738253103,575.5502313088201
955.2682706951197,3.7050040224276586,568.2223359260115
958.9662395464486,3.709143194301305,560.349775021621
962.4277004966547,3.700319850628091,552.3205113521474
965.5960586809662,3.6615007671293824,544.6227105987255
968.2514942438016,3.691704541858371,537.4525171033894
970.8280357038199,3.643976848214379,529.4909891524753
973.1080889921652,3.609328206782095,520.982231367492
975.130543735257,3.4927022936540766,512.5308699372549
976.9220286624807,3.402138466965539,503.59222409182144
978.0795715945799,3.2365821016371115,495.6470718295301
978.9228437157516,3.170145140470879,486.6382690884563
979.7227768427997,3.10775828428649,476.87667332351066
980.1684976956651,2.9784295235089076,466.8615944847957
