x,y,z,bank_angle
-39.113191,-26.034861,1.266461,-0.000000
-54.043347,-41.809077,1.316276,-0.000000
-67.540314,-57.650599,1.466019,-0.000000
-81.034347,-75.015412,1.615676,-0.000000
-91.563021,-89.352484,1.682031,-0.000000
-101.733812,-104.747683,1.664973,-0.000000
-111.173792,-120.678882,1.564518,-0.000000
-123.168908,-142.765059,1.563838,-0.000000
-137.021353,-173.051834,1.662756,-0.000000
-148.865428,-200.631034,1.795033,-0.000000
-165.285269,-240.742111,1.926523,-0.000000
-177.930882,-271.816398,2.108252,-0.000000
-191.030369,-304.368299,2.406489,-0.000000
-197.391483,-321.480074,2.688802,-0.000000
-202.135037,-335.913874,2.837913,-0.000000
-205.512655,-348.687884,2.787120,-0.000000
-207.868815,-360.281696,2.603064,-0.000000
-209.384712,-369.510848,2.485822,-0.000000
-210.491751,-379.253084,2.401878,-0.000000
-211.112030,-388.689598,2.351284,-0.000000
-211.435836,-401.318664,2.217155,-0.000000
-211.275821,-411.321718,2.099857,-0.000000
-210.576640,-421.725223,2.082533,-0.000000
-209.407157,-431.236515,2.215264,-0.000000
-206.948242,-445.279675,2.497704,-0.000000
-203.840801,-459.043569,2.830159,-0.000000
-199.988985,-472.769941,3.245947,-0.000000
-195.773154,-484.597708,3.361852,-0.000000
-190.673651,-496.905798,3.111055,-0.000000
-184.272618,-509.958366,2.860209,-0.000000
-176.582027,-523.152102,2.892685,-0.000000
-168.163499,-535.699775,2.791869,-0.000000
-159.219234,-547.475651,3.007764,-0.000000
-150.303369,-557.825285,2.940414,-0.000000
-140.120396,-568.172720,3.006395,-0.000000
-129.008785,-578.095669,2.939066,-0.000000
-116.866702,-587.691818,3.088421,-0.000000
-104.077553,-596.481892,3.037823,-0.000000
-87.842052,-605.574548,2.770531,-0.000000
-71.268026,-613.561730,2.886640,-0.000000
-52.123831,-620.896780,3.452783,-0.000000
-36.189270,-625.585181,3.635768,-0.000000
-20.239710,-629.230525,3.235486,-0.000000
-6.641607,-631.222487,2.735317,-0.000000
8.920053,-632.408404,2.485192,-0.000000
24.914564,-632.646040,2.451792,-0.000000
41.031888,-631.817388,2.618461,-0.000000
56.162185,-629.895258,2.951869,-0.000000
70.787731,-627.246055,3.435320,-0.000000
85.694832,-623.557893,3.668833,-0.000000
97.631880,-619.977351,3.552349,-0.000000
110.310279,-615.300115,2.885930,-0.000000
122.823898,-609.828668,2.386223,-0.000000
137.004484,-603.008691,2.219921,-0.000000
149.916458,-595.983252,2.336962,-0.000000
162.070540,-588.561436,2.387355,-0.000000
174.950977,-579.879272,2.271143,-0.000000
188.710531,-569.746263,2.138331,-0.000000
200.123131,-560.920016,2.022109,-0.000000
208.803875,-554.002769,1.989106,-0.000000
214.746785,-549.252353,1.972644,-0.000000
220.698667,-544.407973,1.989505,-0.000000
226.557674,-539.558958,1.956352,-0.000000
322.059323,-460.273671,1.639559,-0.000000
425.267593,-374.103742,1.338974,-0.000000
532.138859,-283.872409,1.088103,-0.000000
554.405141,-261.216697,1.220523,-0.000000
569.938011,-242.935617,1.469891,-0.000000
582.839440,-225.459064,1.652722,-0.000000
589.925736,-214.362062,1.735793,-0.000000
596.505729,-202.485487,1.668905,-0.000000
602.158669,-190.754908,1.818732,-0.000000
608.447893,-175.728158,2.101902,-0.000000
613.431170,-161.505872,2.268471,-0.000000
617.337598,-147.612505,2.118435,-0.000000
620.375264,-132.578560,1.751800,-0.000000
622.617638,-117.121121,1.468552,-0.000000
623.931433,-101.218928,1.302034,-0.000000
623.918369,-86.088846,1.318922,-0.000000
623.030699,-71.140085,1.469195,-0.000000
621.051198,-55.429747,1.719544,-0.000000
618.361928,-41.240550,2.003246,-0.000000
615.001755,-27.781054,2.136981,-0.000000
609.776880,-12.675749,1.920855,-0.000000
603.105245,3.127860,1.654828,-0.000000
595.511093,18.851877,1.488858,-0.000000
588.594168,30.876979,1.472788,-0.000000
581.547052,41.492700,1.323373,-0.000000
574.157040,51.515617,1.257303,-0.000000
565.621359,61.627245,1.274640,-0.000000
556.148189,71.538883,1.242033,-0.000000
544.581309,82.221490,1.259565,-0.000000
531.942186,92.399667,1.293822,-0.000000
520.543245,100.749444,1.477974,-0.000000
507.833903,108.541508,1.178866,-0.000000
493.999936,115.643275,1.213152,-0.000000
477.398363,123.106500,1.364278,-0.000000
461.461875,128.861343,1.765337,-0.000000
444.593918,133.384715,1.716437,-0.000000
425.982789,136.832688,1.517628,-0.000000
406.669358,138.884234,1.352178,-0.000000
387.645051,139.395695,1.253352,-0.000000
367.632395,138.047783,1.154558,-0.000000
346.757154,135.257946,0.889116,-0.000000
323.048460,130.976375,0.723777,-0.000000
297.231126,125.701581,0.641790,-0.000000
268.500914,119.767027,0.759840,-0.000000
239.388772,113.740445,0.877777,-0.000000
214.091026,108.494378,0.895448,-0.000000
192.427976,103.754692,0.846230,-0.000000
177.784256,100.294372,0.763386,-0.000000
162.906902,96.164347,0.680512,-0.000000
148.072977,91.319495,0.747602,-0.000000
128.964834,84.359978,0.831445,-0.000000
111.388742,77.193551,0.881870,-0.000000
97.547708,71.103465,0.898844,-0.000000
84.892774,64.923161,0.949089,-0.000000
72.179418,58.126785,1.115971,-0.000000
56.717896,49.385203,1.149536,-0.000000
44.071899,41.731212,1.066362,-0.000000
30.078003,32.422794,0.983159,-0.000000
17.292675,23.258853,0.999909,-0.000000
