x,y,z,bank_angle
-471.146029,655.142184,0.206949,-0.142830
-465.641880,660.096644,0.223854,-0.144479
-459.943246,664.884214,0.240259,-0.144810
-454.001716,669.533244,0.256208,-0.143818
-446.448668,675.123229,0.273963,-0.144771
-440.111981,679.557579,0.288498,-0.146115
-433.647995,683.743443,0.302057,-0.146060
-427.143542,687.633402,0.314578,-0.144752
-419.106541,692.169281,0.328456,-0.146212
-412.495898,695.666504,0.338783,-0.147401
-405.792005,698.924269,0.347567,-0.147259
-398.979726,701.946770,0.354518,-0.145358
-390.533798,705.451943,0.361576,-0.146615
-381.939405,708.668855,0.366344,-0.145356
-374.874057,711.099421,0.367072,-0.146670
-367.746960,713.258126,0.364961,-0.146704
-360.696172,715.106011,0.359992,-0.145420
-352.074943,717.115269,0.353621,-0.145970
-345.093816,718.496035,0.342834,-0.147680
-338.011599,719.608253,0.328840,-0.148570
-330.846167,720.455066,0.311553,-0.147684
-321.893088,721.331204,0.292342,-0.148400
-312.800873,721.928371,0.269800,-0.145821
-303.545533,722.300843,0.244390,-0.141000
-295.891430,722.486876,0.216345,-0.140385
-288.187816,722.561778,0.186695,-0.134806
-280.484024,722.567927,0.155817,-0.125305
-271.130161,722.540659,0.124406,-0.121381
-261.770896,722.498629,0.092070,-0.116821
-252.408374,722.457855,0.058704,-0.111401
-243.134901,722.412179,0.024404,-0.105364
-233.959806,722.347839,-0.010641,-0.099134
-224.868174,722.264406,-0.046087,-0.093011
-215.915224,722.169109,-0.081486,-0.087511
-207.076417,722.067228,-0.116401,-0.082686
-198.302899,721.963269,-0.150497,-0.078388
-189.455914,721.856935,-0.183483,-0.074075
-180.521953,721.747367,-0.214822,-0.069882
-171.369996,721.626559,-0.244032,-0.065810
-162.007039,721.497681,-0.270732,-0.061974
-152.431415,721.361759,-0.294808,-0.058315
-142.836360,721.229577,-0.316215,-0.054931
-133.283867,721.105337,-0.335257,-0.051871
-123.841334,720.990386,-0.352187,-0.049060
-114.522085,720.880272,-0.367120,-0.046517
-105.354397,720.770145,-0.380088,-0.044156
-96.319468,720.655862,-0.391035,-0.042069
-87.354010,720.536646,-0.400164,-0.040127
-78.293952,720.415537,-0.407654,-0.038275
-70.728333,720.317465,-0.414909,-0.038059
-63.042020,720.218298,-0.421168,-0.036694
-55.279242,720.120322,-0.426666,-0.034515
-45.854658,720.001264,-0.430377,-0.033627
-36.459276,719.883266,-0.433185,-0.032686
-27.142691,719.759822,-0.435154,-0.031577
-17.914785,719.637814,-0.436321,-0.030272
-8.738177,719.519009,-0.436816,-0.028926
0.463600,719.404143,-0.436552,-0.027616
9.754612,719.288411,-0.435702,-0.026400
17.527273,719.191179,-0.435394,-0.026497
25.329210,719.092345,-0.434499,-0.025988
33.073669,718.993061,-0.432784,-0.024857
42.393808,718.868820,-0.429178,-0.024628
51.657949,718.747811,-0.424715,-0.024358
60.912801,718.629258,-0.419519,-0.024009
70.152997,718.515047,-0.413553,-0.023631
79.444972,718.397348,-0.407085,-0.023245
88.782212,718.280529,-0.400357,-0.022894
98.124411,718.163967,-0.393614,-0.022526
107.368420,718.053382,-0.386878,-0.022122
116.512573,717.940037,-0.380175,-0.021670
125.615495,717.826210,-0.373533,-0.021226
134.614007,717.706655,-0.366983,-0.020756
143.499599,717.587340,-0.360436,-0.020258
150.689741,717.486397,-0.355204,-0.020557
157.825957,717.383746,-0.349910,-0.020535
164.958028,717.279983,-0.344621,-0.020283
173.784105,717.156220,-0.337978,-0.020404
182.801308,717.029584,-0.331330,-0.020398
191.985729,716.900250,-0.324459,-0.020300
201.209716,716.775937,-0.317154,-0.020151
210.408832,716.660364,-0.309208,-0.019990
219.562314,716.555444,-0.300577,-0.019850
228.655616,716.458239,-0.291294,-0.019721
237.790594,716.359803,-0.281539,-0.019567
246.997447,716.254336,-0.271440,-0.019340
254.599675,716.158897,-0.262919,-0.019905
262.167704,716.062004,-0.254145,-0.020051
269.663228,715.958496,-0.245213,-0.019843
278.742724,715.833400,-0.234348,-0.020080
287.737538,715.711338,-0.223591,-0.020195
296.608254,715.597111,-0.212816,-0.020200
305.364457,715.485436,-0.201930,-0.020096
314.047823,715.370742,-0.190476,-0.019795
321.092291,715.273387,-0.180618,-0.020308
328.095604,715.177664,-0.170062,-0.020629
335.117125,715.078771,-0.158819,-0.020809
343.788648,714.962795,-0.144674,-0.020803
352.463501,714.846191,-0.129946,-0.020507
359.563192,714.757226,-0.117588,-0.020968
366.644525,714.669090,-0.105118,-0.021156
373.702727,714.584896,-0.092716,-0.021047
382.271285,714.480178,-0.077821,-0.021242
390.844395,714.374033,-0.063315,-0.021296
399.495784,714.261256,-0.049396,-0.021269
408.254320,714.141760,-0.036196,-0.021231
417.085065,714.019631,-0.023675,-0.021212
425.838567,713.901620,-0.011751,-0.021248
434.477743,713.785533,-0.000339,-0.021275
443.007845,713.669970,0.010509,-0.021260
451.537171,713.555549,0.020936,-0.021211
460.105100,713.438013,0.030960,-0.021188
468.904831,713.320771,0.040818,-0.021262
477.969155,713.197738,0.050628,-0.021488
487.235266,713.075857,0.060716,-0.021781
496.506855,712.954547,0.071234,-0.022043
505.774892,712.836635,0.082400,-0.022223
514.980639,712.719644,0.094439,-0.022350
524.103223,712.603061,0.107605,-0.022406
533.210224,712.482682,0.121949,-0.022392
542.362897,712.358360,0.137213,-0.022293
551.508724,712.236979,0.153167,-0.022093
560.604807,712.118857,0.169361,-0.021819
569.695080,712.007815,0.185698,-0.021524
578.765812,711.902943,0.202113,-0.021261
586.239322,711.819857,0.216072,-0.022163
593.640772,711.750025,0.230283,-0.022597
601.113320,711.679159,0.244734,-0.022596
610.171286,711.598242,0.262307,-0.023164
619.254827,711.508444,0.280537,-0.023653
