E,N,U
-382.66600366599346,-1.0175374094089875,19.103387670341526
-392.2237863797113,-1.0281308746567674,22.588828954719496
-401.37518165701897,-1.0377172332623275,26.628484422016914
-410.9251843365755,-1.043347488943425,31.172677039021515
-419.4447895987405,-1.056927386469198,35.73315116895518
-427.8045023123756,-1.0665126840565335,40.52919474974307
-435.76670936778,-1.0770869492174597,45.553097562761465
-443.8965676984303,-1.1226915634856596,51.17148102705694
-452.37284866013863,-1.102340046098476,57.22845105081922
-460.0663322177903,-1.1039519206040325,63.588659257385785
-467.76869188568304,-1.0945825276120615,70.17159300022901
-475.8718611108701,-1.1452740207557497,77.97689396360056
-483.29772628354016,-1.0919308628689635,85.55692232689825
-490.31274719511464,-1.1375785439787762,93.46931572791524
-497.4065913768786,-1.1202587197976186,101.93422617330006
-503.75871852447426,-1.1109005962352114,110.47709127775782
-509.5456722914705,-1.129514294938616,118.98484101654363
-515.055028350764,-1.136127653853606,127.77013501347571
-520.9474169537281,-1.0948227455842812,138.11444830038016
-526.0203655473713,-1.1194615253498341,147.99705641771726
-530.6347252789951,-1.1480886635338265,158.17433627731805
-534.7105703878582,-1.099682321078717,168.05695006190103
-536.468129875133,-1.108956337097709,172.78110701217182
-539.9099395445879,-1.1455301394092885,182.9309763211621
-542.8598557524458,-1.1780805896681272,193.10225724262796
-545.2845738140038,-1.1945988519071875,203.12534145980888
-547.39395654078,-1.167094600340704,212.78779787168548
-548.9692206609774,-1.2135925015539897,223.39421027872618
-550.3257611668444,-1.1820643466873548,233.31363305071378
-551.0005468292987,-1.2254783329429983,242.85270627887957
-551.4055086447776,-1.2118889631420302,252.53653918297186
-551.5461726035735,-1.2393173323071665,262.85167380843177
-551.3859301157273,-1.1877336380184715,273.1051264616799
-551.3689133288842,-1.1721681099916736,283.11702243148534
-551.3241420634064,-1.1935915570676343,292.5986826317407
-551.099485107177,-1.2050135732817466,302.08204924008044
-550.8636761387248,-1.2284917717666985,312.44685160302765
-550.7255937700049,-1.2429591471287154,322.0964000962355
-550.7074167995065,-1.308444945610006,331.62003111875805
-550.6837110799204,-1.281912282976009,340.54062293738514
