x,y,z
-3.0292853864985667,-1.7282635482445652,0.09999904550709526,
1.8425559355726207,-10.246688781485869,-8.541137129558507e-06,
8.692289703973117,-22.4707475784773,-0.2000457207455879,
16.34359924177385,-35.94809748400172,-0.4001227882861187,
21.413248915049493,-45.0422334243188,-0.600195841430045,
26.909712908327386,-54.70765752596463,-0.7002926479238312,
32.30208335068971,-64.27897174952098,-0.8004074333079956,
38.65218055672213,-75.58629633191816,-0.800567393425176,
44.148664519289795,-85.43550082939052,-0.9007280603024199,
46.82403411223402,-88.71376758415103,-1.000792130069609,
48.54168255753005,-90.02573713313956,-1.0008234500604658,
50.87351826039751,-90.94577305449035,-1.0008547398944927,
53.299040922333084,-91.17605158434378,-1.1008778429872699,
55.62046327943645,-90.96014953005468,-1.100894557494744,
57.55671520977073,-90.29917361835943,-1.1009022863614462,
59.5033744335,-89.18979972313576,-1.200904448562003,
61.03363497996237,-87.9032843222429,-1.2009009441729965,
62.42856415855113,-86.19162315250492,-1.2008909516519921,
63.31340384076989,-84.22974758252948,-1.200873315013002,
63.813074857585185,-82.31548093905984,-1.200853163517376,
64.0629061926067,-80.27610712581466,-1.2008295321176483,
63.72977950951907,-78.19577092548971,-1.200800210993787,
62.12662574297518,-72.84159277701507,-1.2007206595977955,
60.54429277261602,-67.18737739784446,-1.1006430414563297,
58.608018749374885,-60.72272707931209,-1.1005597877937703,
56.6092868259271,-54.079826174571444,-1.0004816332814066,
55.15187754870981,-48.959255521590975,-1.0004272811123105,
53.79856913315122,-44.01804291932887,-1.0003795170987289,
52.51813213411465,-39.41672545700948,-1.0003385884683311,
51.99762541450569,-36.23034512819885,-1.0003153274973062,
52.0392568258112,-33.543288357521185,-1.0003008895754135,
52.466054585455424,-30.50194190457833,-1.0002890315126525,
53.37170917607111,-27.530344459111078,-1.000282950237846,
54.91236790175293,-24.474600991101923,-1.1002834954487506,
56.90065439072369,-21.620357863204656,-1.1002905457997691,
59.51353637943963,-19.23554421234306,-1.2003067017211233,
62.136831085308025,-17.56705744990928,-1.20032686894148,
65.66579016620574,-16.062425426128126,-1.1003582206038942,
69.28843991342183,-15.279654763677563,-1.1003945955048238,
73.18175012364446,-15.150101516671294,-1.1004377492411672,
76.95014430686287,-15.694803194749298,-1.1004834058604187,
80.05230781145343,-16.839583586481307,-1.000524506468559,
83.00873450463595,-18.571154172261803,-1.0005671153049578,
85.4654866354111,-20.545192963657563,-1.0006056342331133,
87.94306213780708,-23.080557090044863,-1.0006480183312565,
90.07711491764624,-26.129641394358252,-0.9006896141140173,
91.27427392587089,-29.28944532471308,-0.900720428526979,
91.70109610587164,-32.03739302658045,-0.900739830632622,
92.09669405912874,-36.0397429588406,-1.0007670043884822,
92.92951884286063,-41.72053193045827,-1.1008138979504842,
94.13712029006922,-51.17670330593039,-1.4009008402662353,
94.98035770876028,-57.355708641516955,-1.600966195455662,
95.88606438706329,-64.84447416427022,-1.7010518726495292,
96.61479687063655,-71.34012564979253,-1.8011325894631867,
97.43721568127339,-76.90909190721757,-1.8012101684666355,
98.33251225324054,-83.75460309479094,-1.8013105921665193,
99.04042158037221,-89.1497471212846,-1.8013950686373335,
99.66504656951352,-93.69681370726407,-1.8014703265255854,
99.61300838270317,-95.66200752161095,-1.8014988443227047,
99.13416215560227,-97.76449061472081,-1.801523441916629,
98.2076881436959,-100.06958499551203,-1.8015450601922964,
93.3983183733887,-106.35380635335295,-1.6015750987955713,
90.15042764901835,-110.23660542093837,-1.5015946721467657,
85.90318341815177,-115.11363280812523,-1.3016227056449168,
80.16731847241707,-121.84846848502426,-1.001673854895273,
75.37875316354406,-127.83043358134262,-0.8017332126135841,
73.98382175073796,-129.53988155710553,-0.8017515654354526,
72.70340157492497,-131.6157960328386,-0.8017795789697715,
72.20372994760388,-133.2377770919097,-0.7018077661595612,
71.94348735384257,-134.9405770879905,-0.7018408197184769,
